city,state_abbr,elec_score,gas_score,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg
Lowell,MA,1028177.099,2087689.616,1513,36771,248421,6031,723886,269602526,86897262
Lowell,ME,363.7149392,718.3237404,0,2,18,0,0,19227,0
Lowell,MI,10511.18121,18461.90917,104,1893,15929,312,47815,20790898,5739854
Lowell,OH,2487.867063,2910.224567,8,90,885,9,1780,1508170,213711
Lowell,OR,459.0217056,725.5993064,17,146,1611,0,1,1986801,161
Lowell,VT,8103.375305,10936.65445,22,173,1082,0,0,1174126,0
Lowell,WI,963.1212411,1238.458498,5,27,233,6,999,396587,119967
Lowellville,OH,1605.810709,2548.828901,19,108,1068,30,6155,1820882,738829
Lower,NJ,252812.4799,419822.7717,396,5328,37214,1267,130083,71717259,15615549
Lower Allen,PA,321879.1809,638110.6331,359,4476,53712,1733,214974,103510199,25806002
Lower Alloways Creek,DE,1716.968584,3513.875458,19,198,1380,41,4196,2659830,503688
Lower Alloways Creek,NJ,5150.905751,10541.62637,19,198,1380,41,4196,2659830,503688
Lower Alsace,PA,8091.075155,14100.72386,67,198,2055,173,21273,3960487,2553672
Lower Burrell,PA,148159.6208,270669.3656,226,2393,27506,1025,138478,46894269,16623316
Lower Chanceford,PA,4128.520009,6997.083101,51,190,1900,110,13951,3661884,1674693
Lower Chichester,DE,8754.218933,14669.79704,60,500,4927,337,40746,9495568,4891209
Lower Chichester,PA,8754.218933,14669.79704,60,500,4927,337,40746,9495568,4891209
Lower Frankford,PA,714.9633063,1739.264892,23,105,1205,0,0,2321652,20
Lower Frederick,PA,16106.59592,24983.89334,65,450,4433,138,16689,8543764,2003346
Lower Gwynedd,PA,203536.7443,377604.0143,263,2501,24638,824,99694,47480596,11967480
Lower Heidelberg,PA,41765.26762,80674.45104,69,314,3664,161,19755,7060988,2371398
Lower Macungie,PA,46747.19611,79068.07736,360,9990,119885,2577,316363,231035618,37977100
Lower Mahanoy,PA,1597.423676,3120.529594,11,105,1263,18,2432,2434735,291887
Lower Makefield,NJ,51389.41248,91375.53562,576,3565,35118,914,110617,67676856,13278750
Lower Makefield,PA,205557.6499,365502.1425,576,3565,35118,914,110617,67676856,13278750
Lower Merion,PA,3071393.162,6129240.671,1648,13965,137543,5817,694448,265063700,83363430
Lower Mifflin,PA,1177.869646,1575.289608,22,100,1154,0,0,2224427,19
Lower Milford,PA,2283.29967,3919.483718,64,1205,14461,0,34,27868932,4072
Lower Moreland,PA,222030.7444,466125.4908,280,1844,18160,625,74635,34996209,8959422
Lower Mount Bethel,NJ,7641.315489,12969.04435,56,280,3271,113,14127,6303218,1695813
