,city,housing_units,total_pop,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,state_id,lof_score_100,lof_score_500,lof_score_1000
58163,Edgewood,574.0,1669.0,960.0,8619.0,73.0,6079.0,11541260.0,729704.0,TX,-0.9757074179831732,-0.9907344622250244,-1.007103992593275
58164,Fruitvale,151.0,552.0,262.0,2355.0,14.0,1135.0,3152916.0,136253.0,TX,-1.0037357086223933,-1.0020985386736048,-1.0063216999157818
58166,Alma,104.0,279.0,199.0,1781.0,10.0,863.0,2384546.0,103653.0,TX,-0.9835216463564378,-0.9980373518072237,-1.0099120005060505
58167,Palmer,573.0,2268.0,1104.0,9889.0,84.0,6949.0,13241841.0,834136.0,TX,-0.9804460561107966,-0.9943003967979762,-1.0056012479548013
58168,Garrett,241.0,826.0,416.0,3725.0,73.0,6089.0,4988190.0,730885.0,TX,-1.051176854689935,-1.0224041995572264,-1.0066728058967411
58169,Ennis,6297.0,18890.0,10110.0,90603.0,1959.0,162440.0,121317213.0,19499750.0,TX,-1.0064520838514424,-1.0569897873314646,-1.141644275170804
58170,Rice,299.0,933.0,527.0,4722.0,27.0,2213.0,6322734.0,265603.0,TX,-0.9897717745049363,-0.994966057380112,-1.007433298448671
58171,Eustace,337.0,872.0,627.0,5618.0,39.0,3241.0,7522015.0,389010.0,TX,-0.9724632578115959,-0.9972517707850828,-1.0151194504914094
58172,Gun Barrel City,2396.0,5920.0,4279.0,38342.0,167.0,13873.0,51339991.0,1665359.0,TX,-1.058554499149512,-1.067996097098064,-1.1394927211212111
58173,Payne Springs,268.0,694.0,517.0,4637.0,18.0,1481.0,6209337.0,177776.0,TX,-1.0336751685307437,-1.0008540771411114,-1.0128506015625052
58174,Ferris,804.0,2527.0,1525.0,13664.0,125.0,10371.0,18295860.0,1244947.0,TX,-0.9787845420290612,-1.0045749028501285,-1.0255565274141984
58175,Red Oak,3897.0,11663.0,7129.0,63881.0,551.0,45685.0,85536757.0,5484150.0,TX,-0.9942290762586979,-1.0867443367742093,-1.1654127867638822
58176,Wilmer,1052.0,3903.0,1715.0,15373.0,251.0,20836.0,20584166.0,2501249.0,TX,-1.0224718838320512,-0.9942024033720809,-1.0172475039911586
